"","Race","Happy_level","Year"
"330","White","Pretty happy",1972
"331","White","Pretty happy",1972
"332","White","Pretty happy",1972
"333","White","Pretty happy",1972
"334","White","Pretty happy",1972
"335","White","Pretty happy",1972
"336","White","Not too happy",1972
"337","White","Very happy",1972
"338","White","Pretty happy",1972
"339","White","Not too happy",1972
"340","White","Pretty happy",1972
"341","White","Very happy",1972
"342","White","Not too happy",1972
"343","White","Not too happy",1972
"344","White","Very happy",1972
"345","White","Pretty happy",1972
"346","White","Very happy",1972
"347","White","Pretty happy",1972
"348","White","Pretty happy",1972
"349","White","Pretty happy",1972
"350","White","Pretty happy",1972
"351","White","Pretty happy",1972
"352","White","Pretty happy",1972
"353","White","Very happy",1972
"354","Black","Not too happy",1972
"355","Black","Pretty happy",1972
"356","Black","Pretty happy",1972
"357","Black","Not too happy",1972
"358","Black","Pretty happy",1972
"359","Black","Pretty happy",1972
"360","Black","Pretty happy",1972
"361","Black","Pretty happy",1972
"362","Black","Pretty happy",1972
"363","White","Pretty happy",1972
"364","White","Very happy",1972
"365","White","Very happy",1972
"366","White","Pretty happy",1972
"367","White","Very happy",1972
"368","White","Pretty happy",1972
"369","White","Pretty happy",1972
"370","White","Not too happy",1972
"371","White","Very happy",1972
"372","White","Pretty happy",1972
"373","White","Very happy",1972
"374","White","Pretty happy",1972
"375","White","Very happy",1972
"376","White","Very happy",1972
"377","White","Pretty happy",1972
"378","White","Very happy",1972
"379","White","Pretty happy",1972
"380","White","Pretty happy",1972
"381","White","Pretty happy",1972
"382","White","Pretty happy",1972
"383","White","Pretty happy",1972
"384","White","Very happy",1972
"385","White","Very happy",1972
"386","White","Pretty happy",1972
"387","White","Not too happy",1972
"388","White","Pretty happy",1972
"389","White","Not too happy",1972
"390","White","Pretty happy",1972
"391","White","Pretty happy",1972
"392","White","Pretty happy",1972
"393","White","Pretty happy",1972
"394","White","Very happy",1972
"395","White","Pretty happy",1972
"396","White","Very happy",1972
"397","White","Very happy",1972
"398","White","Pretty happy",1972
"399","White","Very happy",1972
"400","White","Pretty happy",1972
"401","Black","Pretty happy",1972
"402","Black","Pretty happy",1972
"403","Black","Pretty happy",1972
"404","Black","Pretty happy",1972
"405","Black","Pretty happy",1972
"406","Black","Pretty happy",1972
"407","Black","Very happy",1972
"408","Black","Pretty happy",1972
"409","White","Pretty happy",1972
"410","White","Pretty happy",1972
"411","White","Not too happy",1972
"412","White","Pretty happy",1972
"413","White","Pretty happy",1972
"414","White","Not too happy",1972
"415","White","Pretty happy",1972
"416","White","Pretty happy",1972
"417","White","Very happy",1972
"418","White","Not too happy",1972
"419","White","Very happy",1972
"420","White","Very happy",1972
"421","White","Very happy",1972
"422","White","Pretty happy",1972
"423","White","Very happy",1972
"424","White","Pretty happy",1972
"425","White","Pretty happy",1972
"426","White","Very happy",1972
"427","White","Very happy",1972
"428","White","Pretty happy",1972
"429","White","Pretty happy",1972
"430","White","Very happy",1972
"431","White","Not too happy",1972
"432","White","Very happy",1972
"433","White","Pretty happy",1972
"434","White","Very happy",1972
"435","White","Very happy",1972
"436","White","Very happy",1972
"437","White","Pretty happy",1972
"438","White","Pretty happy",1972
"439","White","Not too happy",1972
"440","White","Not too happy",1972
"441","White","Very happy",1972
"442","White","Very happy",1972
"443","White","Very happy",1972
"444","White","Very happy",1972
"445","White","Pretty happy",1972
"446","White","Very happy",1972
"447","White","Not too happy",1972
"448","White","Very happy",1972
"449","White","Pretty happy",1972
"450","White","Very happy",1972
"451","White","Pretty happy",1972
"452","White","Pretty happy",1972
"453","White","Not too happy",1972
"454","White","Very happy",1972
"455","White","Very happy",1972
"456","White","Pretty happy",1972
"457","White","Pretty happy",1972
"458","White","Pretty happy",1972
"459","White","Very happy",1972
"460","White","Very happy",1972
"461","White","Very happy",1972
"462","White","Very happy",1972
"463","White","Very happy",1972
"464","White","Not too happy",1972
"465","White","Not too happy",1972
"466","White","Pretty happy",1972
"467","White","Very happy",1972
"468","White","Pretty happy",1972
"469","White","Pretty happy",1972
"470","White","Very happy",1972
"471","White","Pretty happy",1972
"472","White","Not too happy",1972
"473","White","Pretty happy",1972
"474","White","Very happy",1972
"475","White","Not too happy",1972
"476","White","Pretty happy",1972
"477","White","Not too happy",1972
"478","White","Pretty happy",1972
"479","White","Pretty happy",1972
"480","White","Very happy",1972
"481","White","Not too happy",1972
"482","White","Pretty happy",1972
"483","White","Very happy",1972
"484","White","Pretty happy",1972
"485","White","Pretty happy",1972
"486","White","Pretty happy",1972
"487","White","Very happy",1972
"488","White","Very happy",1972
"489","White","Pretty happy",1972
"490","White","Pretty happy",1972
"491","White","Very happy",1972
"492","White","Not too happy",1972
"493","White","Pretty happy",1972
"494","White","Pretty happy",1972
"495","White","Not too happy",1972
"496","White","Pretty happy",1972
"497","White","Not too happy",1972
"498","White","Pretty happy",1972
"499","White","Pretty happy",1972
"500","White","Very happy",1972
"501","White","Pretty happy",1972
"502","White","Pretty happy",1972
"503","White","Not too happy",1972
"504","White","Pretty happy",1972
"505","White","Not too happy",1972
"506","White","Pretty happy",1972
"507","White","Pretty happy",1972
"508","White","Pretty happy",1972
"509","White","Not too happy",1972
"510","White","Pretty happy",1972
"511","White","Pretty happy",1972
"512","White","Pretty happy",1972
"513","White","Not too happy",1972
"514","White","Very happy",1972
"515","White","Very happy",1972
"516","White","Very happy",1972
"517","White","Very happy",1972
"518","White","Pretty happy",1972
"519","White","Pretty happy",1972
"520","White","Very happy",1972
"521","White","Very happy",1972
"522","White","Pretty happy",1972
"523","White","Pretty happy",1972
"524","White","Very happy",1972
"525","White","Not too happy",1972
"526","White","Very happy",1972
"527","White","Pretty happy",1972
"528","White","Very happy",1972
"529","White","Pretty happy",1972
"530","White","Pretty happy",1972
"531","White","Pretty happy",1972
"532","White","Very happy",1972
"533","White","Pretty happy",1972
"534","White","Pretty happy",1972
"535","White","Pretty happy",1972
"536","White","Not too happy",1972
"537","White","Very happy",1972
"538","White","Very happy",1972
"539","White","Not too happy",1972
"540","White","Pretty happy",1972
"541","White","Pretty happy",1972
"542","White","Very happy",1972
"543","White","Very happy",1972
"544","White","Pretty happy",1972
"545","White","Very happy",1972
"546","White","Pretty happy",1972
"547","White","Very happy",1972
"548","White","Pretty happy",1972
"549","White","Pretty happy",1972
"550","White","Pretty happy",1972
"551","White","Not too happy",1972
"552","White","Pretty happy",1972
"553","White","Very happy",1972
"554","White","Not too happy",1972
"555","White","Very happy",1972
"556","White","Pretty happy",1972
"557","White","Pretty happy",1972
"558","White","Not too happy",1972
"559","White","Pretty happy",1972
"560","White","Not too happy",1972
"561","White","Pretty happy",1972
"562","White","Not too happy",1972
"563","White","Pretty happy",1972
"564","White","Pretty happy",1972
"565","Others","Pretty happy",1972
"566","White","Pretty happy",1972
"567","White","Pretty happy",1972
"568","Others","Pretty happy",1972
"569","White","Very happy",1972
"570","White","Pretty happy",1972
"571","White","Pretty happy",1972
"572","White","Pretty happy",1972
"573","White","Pretty happy",1972
"574","White","Very happy",1972
"575","White","Pretty happy",1972
"576","White","Not too happy",1972
"577","White","Pretty happy",1972
"578","White","Very happy",1972
"579","White","Pretty happy",1972
"580","White","Pretty happy",1972
"581","White","Pretty happy",1972
"582","White","Pretty happy",1972
"583","White","Pretty happy",1972
"584","White","Not too happy",1972
"585","White","Very happy",1972
"586","White","Very happy",1972
"587","White","Not too happy",1972
"588","Black","Not too happy",1972
"589","Black","Not too happy",1972
"590","Black","Pretty happy",1972
"591","Black","Pretty happy",1972
"592","Black","Pretty happy",1972
"593","Black","Pretty happy",1972
"594","Black","Very happy",1972
"595","Others","Not too happy",1972
"596","Black","Pretty happy",1972
"597","Black","Not too happy",1972
"598","White","Very happy",1972
"599","White","Very happy",1972
"600","White","Not too happy",1972
"601","White","Very happy",1972
"602","White","Not too happy",1972
"603","White","Pretty happy",1972
"604","White","Very happy",1972
"605","White","Very happy",1972
"606","Black","Pretty happy",1972
"607","Black","Pretty happy",1972
"608","Black","Not too happy",1972
"609","Black","Pretty happy",1972
"610","Black","Not too happy",1972
"611","Black","Not too happy",1972
"612","Black","Pretty happy",1972
"613","White","Pretty happy",1972
"614","White","Pretty happy",1972
"615","White","Not too happy",1972
"616","White","Very happy",1972
"617","Black","Pretty happy",1972
"618","Black","Pretty happy",1972
"619","Black","Pretty happy",1972
"620","White","Pretty happy",1972
"621","White","Pretty happy",1972
"622","White","Very happy",1972
"623","White","Pretty happy",1972
"624","White","Pretty happy",1972
"625","White","Pretty happy",1972
"626","White","Very happy",1972
"627","White","Very happy",1972
"628","White","Pretty happy",1972
"629","White","Very happy",1972
"630","White","Very happy",1972
"631","White","Very happy",1972
"632","White","Pretty happy",1972
"633","White","Very happy",1972
"634","White","Pretty happy",1972
"635","White","Very happy",1972
"636","White","Pretty happy",1972
"637","White","Pretty happy",1972
"638","White","Pretty happy",1972
"639","White","Pretty happy",1972
"640","White","Pretty happy",1972
"641","White","Pretty happy",1972
"642","Black","Pretty happy",1972
"643","White","Pretty happy",1972
"644","White","Very happy",1972
"645","White","Very happy",1972
"646","White","Not too happy",1972
"647","White","Very happy",1972
"648","White","Very happy",1972
"649","White","Very happy",1972
"650","White","Very happy",1972
"651","White","Pretty happy",1972
"652","White","Not too happy",1972
"653","White","Pretty happy",1972
