"id","educ","race","sex"
758,12,1,2
759,15,1,1
760,12,1,1
761,18,1,2
763,17,1,2
764,12,1,1
765,18,1,1
766,13,1,2
767,18,1,2
768,12,1,2
769,16,1,2
770,13,3,1
772,16,1,1
773,15,1,1
774,11,1,1
775,13,1,1
776,12,1,1
777,12,1,2
778,12,1,2
779,16,1,2
780,15,1,2
781,13,1,2
782,12,1,2
783,14,1,2
784,12,1,2
785,17,1,2
786,19,1,2
787,15,1,1
788,20,1,1
790,13,1,2
791,14,1,2
792,18,1,1
793,14,1,1
795,14,1,2
796,16,1,2
797,18,1,2
798,20,1,1
799,14,2,2
800,14,1,1
801,16,1,1
802,14,1,1
803,12,2,2
804,18,1,2
805,16,1,2
806,11,1,2
807,15,1,2
808,12,1,2
809,13,1,NA
810,17,1,1
811,15,1,2
812,14,1,2
813,16,1,NA
814,12,1,1
815,16,1,1
816,16,1,2
817,17,1,2
818,16,1,1
819,12,1,2
820,12,1,2
821,20,1,2
823,12,1,2
824,12,1,2
825,14,1,2
826,13,2,2
827,15,1,2
828,16,1,2
829,12,1,2
830,12,1,1
831,17,1,2
832,15,1,1
833,11,1,2
834,16,1,1
835,14,1,2
836,13,2,2
837,12,2,2
838,12,2,2
839,18,1,1
841,12,1,2
842,16,2,1
843,15,2,2
844,9,1,1
845,16,1,2
846,17,1,2
847,15,1,2
849,12,2,1
850,14,1,2
851,NA,2,NA
852,14,1,2
853,14,2,2
855,6,2,1
856,16,1,1
857,16,1,2
858,12,2,2
859,12,1,2
860,12,1,1
861,15,1,1
862,10,1,2
863,12,1,2
864,14,1,2
865,12,1,1
866,13,1,1
867,15,1,1
868,12,3,1
869,10,2,2
870,17,1,2
871,14,1,2
872,12,1,1
873,19,1,1
874,12,1,2
876,18,1,2
878,16,1,1
880,15,1,1
881,20,1,1
882,18,1,2
883,20,1,1
884,16,1,1
885,16,1,2
886,13,1,1
887,16,1,1
888,12,3,1
889,12,1,1
890,17,1,2
891,13,1,2
892,16,1,2
893,18,1,1
894,20,1,1
895,12,1,2
896,16,1,1
897,18,1,2
898,19,1,1
899,18,3,1
901,16,1,1
902,14,1,2
903,16,1,1
904,18,1,1
905,16,3,1
906,16,3,1
908,18,1,2
909,12,1,2
910,16,1,2
911,18,3,2
912,NA,1,NA
914,18,1,1
915,18,1,1
916,18,1,1
917,19,1,2
918,13,1,2
919,16,1,2
920,12,1,2
921,18,1,2
922,8,1,2
923,12,1,2
924,12,1,2
925,16,1,2
926,15,1,2
927,18,1,1
928,15,1,2
929,16,3,1
931,16,1,1
932,12,1,2
933,12,1,1
934,12,1,2
935,14,1,1
936,10,1,1
937,14,1,2
938,12,1,2
939,16,3,2
940,16,1,2
941,16,1,2
942,16,1,1
943,20,1,2
944,18,1,1
945,12,1,2
946,18,1,2
947,17,1,2
948,16,1,1
949,15,1,2
950,16,1,1
952,16,1,2
953,18,1,1
954,20,1,1
955,17,1,2
956,16,1,2
957,16,1,2
958,13,1,2
959,12,2,1
960,12,1,1
961,12,1,2
964,18,2,2
965,12,1,2
966,12,3,1
968,20,2,2
969,16,1,2
972,18,1,1
973,15,1,1
974,16,1,2
975,17,1,1
977,12,2,2
978,NA,2,NA
979,14,1,1
980,14,2,2
981,18,1,2
982,16,1,2
983,17,1,2
985,18,1,2
986,20,1,2
987,14,1,2
988,16,3,2
989,17,3,1
990,15,1,1
991,16,1,1
992,14,1,2
993,17,1,2
995,14,1,1
996,14,1,1
997,18,3,1
998,15,3,1
999,16,3,2
1000,16,3,1
1001,16,1,1
1002,14,2,2
1003,16,3,2
1004,14,1,2
1005,19,1,2
1007,11,NA,2
1008,13,2,2
1009,8,2,2
1010,15,2,2
1011,12,1,1
1012,13,2,2
1013,19,3,2
1014,16,1,1
1015,17,3,1
1018,16,1,1
1019,16,3,1
1021,17,1,2
1022,16,1,1
1023,16,1,1
1024,16,3,1
1025,19,1,1
1026,17,3,1
1027,19,2,2
1028,7,3,1
1029,13,3,1
1030,12,3,1
1031,14,1,1
1033,15,1,2
1034,12,3,2
1035,NA,1,NA
1036,14,2,2
1037,14,3,1
1039,16,1,2
1040,14,1,1
1042,14,1,1
1043,12,1,2
1044,18,1,1
1045,18,1,1
1046,14,1,2
1048,13,1,2
1049,17,1,1
1050,14,1,1
1051,16,1,1
1052,12,1,2
1053,20,1,1
1055,16,1,2
1056,16,1,2
1057,14,1,2
1058,16,1,1
1059,12,1,2
1060,12,1,1
1061,16,1,1
1062,18,1,1
1063,14,1,1
1064,16,1,1
1065,19,1,1
1066,13,3,2
1067,14,1,2
1068,16,1,1
1069,12,1,2
1070,16,1,1
1071,16,1,1
1072,12,1,2
1073,15,2,1
1074,18,1,2
1075,13,NA,2
1076,11,2,2
1077,NA,3,1
1078,14,1,1
1079,17,1,1
1080,12,1,2
1081,13,1,1
1082,16,1,2
1083,11,1,2
1084,19,1,2
1085,12,1,1
1086,10,1,2
1087,12,1,2
1088,12,1,1
1089,12,1,2
1090,15,NA,1
1091,14,1,2
1092,13,1,2
1093,14,1,2
1094,16,1,2
1095,15,1,1
1096,14,1,2
1097,16,1,2
1098,16,1,2
1099,12,1,1
1100,12,1,1
1102,18,1,2
1103,18,2,1
1104,16,1,1
1105,14,1,2
1106,12,1,1
1107,12,1,2
1108,12,1,2
1109,10,1,1
1110,20,1,1
1111,14,1,2
1112,15,1,1
1113,NA,1,1
1115,20,1,2
1117,12,1,2
1118,19,1,1
1119,18,1,1
1120,17,1,1
1121,16,1,1
1122,11,1,2
1123,16,1,2
1124,15,1,1
1125,12,1,2
1127,16,1,2
1128,16,1,1
1129,20,1,1
1130,16,1,1
1131,16,1,2
1132,16,3,NA
1133,16,1,1
1134,16,1,1
1135,16,1,2
1136,16,1,2
1137,16,1,1
1138,16,1,1
1139,18,1,2
1140,16,1,2
1141,18,1,2
1142,16,1,1
1143,20,1,1
1144,18,1,2
1145,14,1,1
1146,17,3,1
1147,16,1,2
1148,16,3,2
1149,14,3,1
1150,8,1,2
1151,16,1,2
1152,14,1,2
1153,12,1,2
1154,19,3,1
1155,17,1,2
1156,20,1,1
1157,14,3,2
1158,18,1,2
1159,16,1,1
1160,0,3,NA
1161,12,3,2
1162,16,2,1
1163,19,1,2
1164,16,NA,2
1165,18,1,2
1166,16,1,2
1168,16,2,2
1169,13,1,2
1171,20,1,2
1172,14,NA,2
1173,14,1,2
1174,20,3,2
1175,14,1,2
1176,18,1,1
1177,17,3,1
1178,14,1,1
1179,12,2,2
1181,14,1,1
1182,12,2,1
1183,12,1,2
1185,15,1,2
1186,16,2,2
1187,14,1,1
1188,12,1,1
1190,17,3,1
1191,13,3,1
1192,13,1,2
1193,16,1,2
1194,18,1,1
1195,16,1,1
1196,18,1,2
1197,16,1,2
1198,16,1,1
1199,20,3,1
1200,16,1,2
1201,18,1,2
1202,16,1,1
1203,15,1,1
1204,18,1,2
1205,14,1,1
1206,18,1,2
1207,16,1,1
1208,19,1,2
1209,20,1,2
1210,14,2,1
1211,16,2,2
1212,14,2,1
1213,20,1,1
1214,12,2,2
1215,16,1,1
1216,16,1,2
1217,16,1,2
1218,11,2,2
1219,14,1,1
1220,16,1,2
1222,12,1,1
1223,17,1,2
1224,20,1,1
1225,12,1,1
1228,12,1,2
1229,14,1,2
1230,20,1,2
1231,12,1,2
1232,12,2,1
1233,12,1,2
1235,13,1,2
1236,15,1,2
1237,14,1,2
1238,13,1,2
1239,12,1,2
1241,16,2,2
1243,14,1,2
1244,15,1,2
1245,12,1,1
1246,13,1,1
1247,12,2,2
1248,10,1,1
1249,19,1,1
1250,18,3,1
1251,12,2,2
1252,15,1,2
1253,16,2,2
1254,13,1,2
1255,16,1,2
1256,12,2,1
1257,15,1,1
1258,13,2,2
1259,17,1,2
1260,20,NA,1
1261,15,3,1
1263,16,1,2
1264,12,1,2
1265,20,1,1
1266,18,1,2
1267,17,1,1
1268,19,2,1
1269,20,1,1
1270,17,1,1
1271,14,2,1
1272,20,1,1
1273,16,3,2
1274,14,2,2
1275,13,NA,2
1276,16,1,2
1277,13,2,2
1278,16,1,1
1279,16,1,1
1280,16,2,2
1281,18,2,2
1282,16,1,2
1283,16,1,1
1285,19,1,1
1286,20,3,1
1287,20,1,1
1288,18,2,2
1289,16,2,2
1290,16,2,1
1291,16,1,1
1292,16,3,2
1294,13,1,2
1295,18,1,1
1297,18,1,1
1298,17,1,1
1299,18,1,2
1300,15,1,2
1303,16,1,1
1304,14,1,1
1305,12,1,1
1306,16,1,1
1307,17,1,1
1308,12,2,1
1310,12,1,2
1312,18,3,2
1313,16,2,2
1314,12,1,1
1315,17,2,2
1316,14,1,2
1317,17,1,2
1318,17,1,2
1319,14,1,1
1320,14,1,1
1321,14,1,1
1322,12,1,1
1323,16,2,2
1324,15,1,2
1325,14,1,2
1326,16,1,2
1327,16,3,2
1328,18,1,1
1329,16,1,1
1330,12,1,1
1331,18,1,1
1332,20,3,1
1333,12,1,2
1334,17,2,1
1335,20,1,1
1336,17,1,1
1337,12,2,1
1338,13,2,2
1339,15,2,2
1340,20,2,2
1341,16,2,1
1342,19,2,2
1343,12,3,1
1344,19,1,1
1345,12,1,2
1346,17,1,1
1347,12,1,1
1348,12,1,2
1349,14,2,2
1350,17,2,1
1351,16,1,2
1352,16,1,1
1353,16,1,2
1354,13,2,1
1355,13,2,2
1356,12,2,2
1357,16,1,1
1358,16,2,2
1359,16,1,2
1360,17,1,2
1361,16,1,2
1363,16,1,2
1364,12,1,1
1365,16,1,1
1367,12,1,2
1368,17,2,1
1369,12,1,1
1370,18,1,2
1371,14,1,1
1372,13,1,2
1373,16,1,2
1374,20,1,2
1375,20,1,2
1376,18,2,2
1379,11,2,2
1380,12,NA,1
1381,16,1,1
1382,14,1,2
1383,12,1,2
1384,12,1,1
1385,16,1,2
1386,12,1,1
1387,11,1,2
1388,18,1,2
1389,13,1,2
1391,19,1,2
1392,14,1,1
1393,16,1,1
1394,7,1,2
1395,14,1,1
1396,12,1,1
1397,14,2,2
1398,20,1,2
1399,20,1,1
1400,16,1,1
1401,16,2,1
1402,18,1,2
1403,12,1,2
1404,10,1,1
1405,15,1,2
1406,11,1,2
1407,15,1,2
1408,12,1,2
1409,14,2,2
1410,14,2,2
1411,12,1,1
1413,12,1,2
1414,14,2,2
1415,15,1,2
1416,16,1,2
1417,12,1,1
1418,16,1,1
1419,14,1,2
1420,17,1,2
1421,14,1,1
1422,15,2,2
1423,16,1,2
1424,14,1,2
1425,17,1,1
1426,16,2,1
1427,16,1,1
1428,17,1,1
1429,17,1,1
1430,13,1,1
1431,16,1,2
1432,14,1,2
1433,12,1,1
1434,12,1,1
1435,10,2,2
1436,12,1,1
1437,15,1,2
1438,13,1,1
1440,16,1,2
1441,16,1,1
1442,13,1,2
1444,17,1,2
1445,19,1,2
1446,16,2,2
1447,13,1,2
1448,17,1,2
1449,18,1,2
1450,20,2,2
1451,19,1,2
1452,16,1,2
1453,12,1,2
1454,18,1,1
1455,14,1,1
1456,14,1,2
1457,11,1,2
1458,14,1,1
1459,15,1,2
1460,12,1,2
1461,16,1,1
1462,12,1,2
1463,12,1,2
1464,13,1,2
1465,16,3,2
1466,12,3,1
1467,16,1,1
1468,18,1,2
1469,16,1,1
1470,18,1,1
1471,16,1,1
1472,15,1,2
1474,18,1,2
1475,20,1,2
1476,12,2,NA
1477,20,1,1
1478,12,1,2
1479,17,1,1
1480,12,1,2
1481,14,1,2
1482,14,1,2
1483,17,3,2
1484,10,1,1
1485,18,2,2
1486,14,1,2
1487,17,1,2
1488,15,1,2
1489,16,1,2
1490,12,1,2
1491,20,1,1
1492,12,1,2
1493,11,NA,NA
1494,14,1,2
1495,16,1,2
1496,16,1,2
1497,12,1,2
1498,9,1,2
1499,8,1,2
1501,18,NA,2
1502,14,2,2
1504,13,2,2
1505,16,1,1
1506,8,1,2
1507,15,1,1
1508,16,2,1
1509,14,1,2
1511,17,1,1
1512,14,1,1
1513,12,2,2
1514,16,1,2
1515,14,2,2
1516,11,1,2
1517,16,1,1
1518,0,1,1
1519,16,1,2
1520,NA,1,1
1521,12,2,1
1522,13,1,1
1523,12,1,1
1524,19,NA,1
1525,18,1,1
1526,12,1,2
1527,20,2,1
1528,16,1,2
1529,13,1,2
1530,9,1,2
1531,12,2,1
1532,12,1,2
1534,12,1,1
1535,12,1,1
1536,14,1,2
1537,16,1,2
1538,16,1,1
1539,16,1,1
1540,16,1,2
1541,13,1,2
1542,20,3,2
1543,16,1,2
1544,12,1,2
1545,14,1,2
1546,11,1,2
1547,16,1,1
1548,14,1,2
1549,18,1,1
1550,12,1,2
1551,NA,1,NA
1552,12,1,2
1553,16,1,2
1554,17,1,2
1555,12,1,2
1557,16,1,2
1558,13,1,2
1559,8,3,2
1560,16,1,1
1561,14,1,2
1562,12,1,1
1563,12,1,1
1564,16,1,2
1565,12,1,1
1566,14,2,1
1567,14,1,2
1568,12,1,2
1569,15,1,2
1570,11,1,2
1571,14,1,2
1572,16,1,2
1573,12,1,2
1574,12,1,1
1575,16,1,1
1576,15,1,2
1577,9,1,2
1578,NA,1,NA
1579,12,1,2
1580,12,1,1
1581,15,2,2
1582,16,1,1
1583,NA,2,NA
1584,16,1,1
1585,18,1,2
1586,18,2,2
1587,14,2,2
1588,16,1,2
1589,12,2,2
1590,14,1,1
1591,12,1,1
1592,16,1,1
1593,13,1,2
1594,16,1,1
1595,17,1,1
1596,16,1,2
1597,10,1,1
1598,12,3,NA
1599,NA,1,NA
1600,13,1,1
1601,14,1,2
1602,13,1,2
1603,16,1,2
1604,16,1,1
1606,13,1,2
1607,17,1,1
1608,12,1,2
1610,14,1,1
1612,13,1,2
1613,12,1,2
1614,11,1,1
1616,14,1,2
1617,14,1,2
1618,18,2,2
1619,12,2,2
1620,14,NA,1
1621,12,1,2
1622,16,1,1
1623,14,1,2
1624,11,2,2
1625,16,1,1
1626,16,1,1
1627,20,1,2
1628,16,1,2
1629,NA,2,NA
1630,13,2,2
1631,11,1,2
1632,13,1,1
1633,16,1,2
1634,20,1,2
1635,12,1,2
1636,8,3,2
1638,14,1,2
1639,12,1,2
1640,12,2,2
1641,18,2,1
1643,20,1,1
1644,11,2,1
1646,12,2,1
1647,12,1,2
1648,17,1,1
1649,15,2,2
1650,16,2,2
1651,12,1,2
1652,12,1,2
1653,20,1,2
1654,18,1,NA
1655,12,1,2
1656,12,1,2
1657,14,1,2
1658,16,1,1
1659,NA,2,NA
1660,14,1,1
1661,12,2,2
1662,16,1,1
1663,16,1,1
1664,18,1,2
1665,14,1,NA
1667,16,1,2
1668,16,1,2
1669,20,1,1
1671,12,1,1
1672,16,1,1
1673,14,1,1
1674,20,1,1
1675,12,3,2
1676,9,3,2
1677,12,1,1
1678,11,1,2
1681,18,1,1
1682,8,1,2
1683,17,1,2
