"id","educ","majorcol","rincome","race","sex"
322,18,NA,12,1,2
323,14,61,NA,2,2
324,14,NA,NA,2,1
325,12,NA,NA,1,2
326,12,NA,NA,1,2
327,12,NA,12,1,1
328,12,NA,11,3,2
329,16,1,NA,1,2
330,16,12,NA,1,1
331,12,NA,NA,1,1
332,16,9,12,1,1
333,15,NA,NA,1,1
334,13,NA,5,3,1
335,9,NA,12,3,1
336,16,14,12,3,2
337,17,NA,12,1,1
338,18,55,12,1,2
339,16,9,NA,1,2
340,14,NA,3,1,1
341,18,NA,12,1,1
342,12,NA,11,1,2
343,18,NA,12,1,2
344,16,NA,10,1,1
345,16,NA,12,1,2
346,19,17,10,1,1
347,20,NA,NA,1,1
348,15,NA,11,1,2
349,12,NA,12,1,1
350,12,NA,12,1,1
351,14,NA,4,1,2
352,18,34,NA,1,2
353,12,NA,12,1,2
354,12,NA,12,1,1
355,13,NA,NA,1,2
356,19,NA,9,2,2
357,16,NA,12,3,2
358,16,NA,12,1,1
359,14,NA,12,2,2
360,13,NA,NA,1,2
361,16,NA,12,1,1
362,12,NA,12,1,1
363,16,9,12,1,1
364,12,NA,12,1,2
365,18,18,12,1,1
366,12,NA,12,1,2
367,9,NA,NA,1,1
368,15,NA,9,1,1
369,13,NA,NA,1,2
370,13,NA,9,1,1
371,20,NA,NA,3,2
372,18,NA,NA,1,2
373,12,NA,NA,1,1
374,18,21,NA,3,2
375,14,NA,NA,1,2
376,16,18,12,1,2
377,12,NA,12,2,1
378,16,57,4,1,2
379,13,NA,NA,1,1
380,18,16,12,2,2
381,20,NA,2,1,1
382,16,49,12,1,2
383,12,NA,NA,1,1
384,13,NA,12,2,2
385,18,9,NA,2,2
386,16,1,11,2,2
387,16,NA,NA,2,2
388,16,NA,12,2,2
389,16,NA,NA,1,2
390,18,9,NA,2,2
391,16,NA,12,2,2
392,12,NA,12,2,2
393,20,NA,12,1,1
394,14,NA,12,1,1
395,16,NA,12,1,1
396,18,12,NA,1,2
397,16,NA,10,2,2
398,18,43,12,1,2
399,16,77,12,1,2
400,16,9,NA,2,1
401,11,NA,12,1,1
402,13,NA,11,1,2
403,14,NA,12,1,2
404,12,NA,12,2,1
405,16,18,NA,3,1
406,12,NA,NA,1,2
407,12,NA,NA,1,2
408,20,NA,12,3,2
409,16,43,NA,1,2
410,18,9,12,1,1
411,19,NA,NA,1,1
412,20,NA,12,1,1
413,15,NA,12,1,1
414,18,43,12,1,1
415,12,NA,11,2,2
416,12,NA,12,2,1
417,13,NA,10,1,2
418,10,NA,NA,2,2
419,12,NA,NA,2,1
420,14,NA,NA,2,2
421,13,NA,12,1,1
422,10,NA,11,2,2
423,12,NA,7,1,2
424,20,NA,12,1,2
425,18,16,NA,1,2
426,16,NA,1,1,2
427,18,9,12,1,1
428,18,9,NA,1,1
429,10,NA,NA,2,1
430,10,NA,12,3,1
431,11,NA,12,3,2
