"","Employee_status","Happy_level","Year","Happy"
"415","Someone else",2,1972,"Pretty happy"
"416","Someone else",2,1972,"Pretty happy"
"417","Someone else",1,1972,"Very happy"
"418","Someone else",3,1972,"Not too happy"
"419","Someone else",1,1972,"Very happy"
"420","Someone else",1,1972,"Very happy"
"421","Self-employed",1,1972,"Very happy"
"422","Self-employed",2,1972,"Pretty happy"
"423","Someone else",1,1972,"Very happy"
"424","Someone else",2,1972,"Pretty happy"
"425","Self-employed",2,1972,"Pretty happy"
"426","Self-employed",1,1972,"Very happy"
"427","Someone else",1,1972,"Very happy"
"428","Someone else",2,1972,"Pretty happy"
"429","Someone else",2,1972,"Pretty happy"
"430","Someone else",1,1972,"Very happy"
"431","Someone else",3,1972,"Not too happy"
"432","Someone else",1,1972,"Very happy"
"433","Someone else",2,1972,"Pretty happy"
"434","Someone else",1,1972,"Very happy"
"435","Someone else",1,1972,"Very happy"
"436","Someone else",1,1972,"Very happy"
"437","Someone else",2,1972,"Pretty happy"
"438","Someone else",2,1972,"Pretty happy"
"439","Someone else",3,1972,"Not too happy"
"440","Someone else",3,1972,"Not too happy"
"441","Someone else",1,1972,"Very happy"
"442","Someone else",1,1972,"Very happy"
"443","Someone else",1,1972,"Very happy"
"444","Someone else",1,1972,"Very happy"
"445","Someone else",2,1972,"Pretty happy"
"446","Someone else",1,1972,"Very happy"
"447","Someone else",3,1972,"Not too happy"
"448","Self-employed",1,1972,"Very happy"
"449","Someone else",2,1972,"Pretty happy"
"450","Someone else",1,1972,"Very happy"
"451","Someone else",2,1972,"Pretty happy"
"452","Someone else",2,1972,"Pretty happy"
"453","Someone else",3,1972,"Not too happy"
"454","Someone else",1,1972,"Very happy"
"455","Someone else",1,1972,"Very happy"
"456","Someone else",2,1972,"Pretty happy"
"457","Someone else",2,1972,"Pretty happy"
"458","Someone else",2,1972,"Pretty happy"
"459","Someone else",1,1972,"Very happy"
"460","Someone else",1,1972,"Very happy"
"461","Someone else",1,1972,"Very happy"
"462","Someone else",1,1972,"Very happy"
"463","Someone else",1,1972,"Very happy"
"464","Someone else",3,1972,"Not too happy"
"465","Someone else",3,1972,"Not too happy"
"466","Self-employed",2,1972,"Pretty happy"
"467","Someone else",1,1972,"Very happy"
"468","Someone else",2,1972,"Pretty happy"
"469","Someone else",2,1972,"Pretty happy"
"470","Someone else",1,1972,"Very happy"
"471","Someone else",2,1972,"Pretty happy"
"472","Someone else",3,1972,"Not too happy"
"473","Someone else",2,1972,"Pretty happy"
"474","Someone else",1,1972,"Very happy"
"475","Someone else",3,1972,"Not too happy"
"476","Someone else",2,1972,"Pretty happy"
"477","Someone else",3,1972,"Not too happy"
"478","Someone else",2,1972,"Pretty happy"
"479","Someone else",2,1972,"Pretty happy"
"480","Someone else",1,1972,"Very happy"
"481","Someone else",3,1972,"Not too happy"
"482","Someone else",2,1972,"Pretty happy"
"483","Someone else",1,1972,"Very happy"
"484","Someone else",2,1972,"Pretty happy"
"485","Someone else",2,1972,"Pretty happy"
"486","Someone else",2,1972,"Pretty happy"
"487","Self-employed",1,1972,"Very happy"
"488","Someone else",1,1972,"Very happy"
"489","Someone else",2,1972,"Pretty happy"
"490","Self-employed",2,1972,"Pretty happy"
"491","Someone else",1,1972,"Very happy"
"492","Self-employed",3,1972,"Not too happy"
"493","Someone else",2,1972,"Pretty happy"
"494","Someone else",2,1972,"Pretty happy"
"495","Self-employed",3,1972,"Not too happy"
"496","Someone else",2,1972,"Pretty happy"
"497","Someone else",3,1972,"Not too happy"
"498","Someone else",2,1972,"Pretty happy"
"499","Someone else",2,1972,"Pretty happy"
"500","Someone else",1,1972,"Very happy"
"501","Someone else",2,1972,"Pretty happy"
"502","Someone else",2,1972,"Pretty happy"
"503","Someone else",3,1972,"Not too happy"
"504","Someone else",2,1972,"Pretty happy"
"505","Someone else",3,1972,"Not too happy"
"506","Someone else",2,1972,"Pretty happy"
"507","Self-employed",2,1972,"Pretty happy"
"508","Someone else",2,1972,"Pretty happy"
"509","Someone else",3,1972,"Not too happy"
"510","Someone else",2,1972,"Pretty happy"
"511","Someone else",2,1972,"Pretty happy"
"512","Someone else",2,1972,"Pretty happy"
"513","Someone else",3,1972,"Not too happy"
"514","Someone else",1,1972,"Very happy"
"515","Someone else",1,1972,"Very happy"
"516","Someone else",1,1972,"Very happy"
"517","Self-employed",1,1972,"Very happy"
"518","Someone else",2,1972,"Pretty happy"
"519","Self-employed",2,1972,"Pretty happy"
"520","Self-employed",1,1972,"Very happy"
"521","Self-employed",1,1972,"Very happy"
"522","Someone else",2,1972,"Pretty happy"
"523","Someone else",2,1972,"Pretty happy"
"524","Someone else",1,1972,"Very happy"
"525","Someone else",3,1972,"Not too happy"
"526","Someone else",1,1972,"Very happy"
"527","Someone else",2,1972,"Pretty happy"
"528","Someone else",1,1972,"Very happy"
"529","Someone else",2,1972,"Pretty happy"
"530","Someone else",2,1972,"Pretty happy"
"531","Someone else",2,1972,"Pretty happy"
"532","Someone else",1,1972,"Very happy"
"533","Someone else",2,1972,"Pretty happy"
"534","Someone else",2,1972,"Pretty happy"
"535","Someone else",2,1972,"Pretty happy"
"536","Someone else",3,1972,"Not too happy"
"537","Someone else",1,1972,"Very happy"
"538","Self-employed",1,1972,"Very happy"
"539","Someone else",3,1972,"Not too happy"
"540","Someone else",2,1972,"Pretty happy"
