"id","edu_year","major","income","race","sex"
1481,16,70,12,1,2
1492,14,12,12,3,1
1501,18,33,12,2,2
1503,17,38,12,1,1
1505,17,43,10,1,2
1523,16,17,12,1,1
1533,20,63,11,1,1
1536,18,63,12,1,1
1538,16,34,12,1,1
1544,15,49,6,1,1
1546,18,16,3,1,1
1560,16,20,12,1,1
1562,16,9,5,1,1
1572,16,58,12,1,2
1575,18,42,12,1,2
1590,14,51,12,1,2
1635,14,9,7,1,2
1644,15,51,12,1,2
1662,16,42,9,3,2
1665,16,22,12,1,1
1667,20,16,9,3,2
1682,15,49,5,1,2
1683,16,19,12,1,2
1685,17,46,12,1,1
1692,16,9,12,2,2
1706,16,70,12,1,1
1709,14,50,12,1,2
1710,14,3,12,1,1
1717,16,26,12,2,2
1746,16,9,12,1,1
1753,16,16,12,2,2
1758,20,35,3,2,2
1774,16,80,12,1,2
1779,16,42,8,2,2
1808,18,9,12,1,2
1810,16,12,12,1,2
1827,16,70,12,2,2
1829,14,9,11,2,2
1843,14,9,12,1,2
1858,16,63,12,2,2
1862,16,9,12,2,2
1880,18,43,12,2,1
1885,17,1,12,2,1
1889,20,42,12,1,1
1890,18,9,3,3,1
1901,14,55,10,1,2
1908,16,36,9,1,2
1917,20,29,12,2,2
1922,14,51,12,1,2
1928,16,44,4,2,2
1978,17,36,12,1,2
1984,16,9,12,1,1
1998,17,9,12,1,2
2001,19,16,6,1,2
2008,16,47,12,1,1
2011,16,28,1,1,2
2012,20,9,12,1,2
2016,15,36,12,1,1
2020,14,18,10,1,1
2039,16,36,12,1,1
2059,19,16,12,1,1
2073,16,8,4,1,2
2079,18,73,12,1,1
2100,16,60,12,1,2
2105,15,55,12,1,1
2130,16,12,12,1,2
2135,17,9,12,1,1
2137,16,17,12,1,1
2153,16,16,12,1,2
2157,16,14,12,1,1
2159,14,55,12,1,1
2162,14,34,12,1,2
2176,14,29,12,1,2
2188,19,16,12,1,2
2192,16,42,12,1,2
2197,20,17,9,1,1
2205,19,33,12,1,1
2234,16,41,12,1,1
2246,14,58,6,2,1
2268,14,36,12,1,2
2281,16,36,11,2,2
2319,14,81,12,3,2
2323,16,50,12,1,1
