"id","edu_year","employee_status","industry_sector","income","race","sex","science_course"
1215,15,2,2,12,1,1,2
1217,12,2,2,2,1,1,2
1218,16,2,1,10,3,2,2
1223,8,2,2,9,1,2,2
1228,12,1,2,12,1,1,2
1239,20,1,2,12,1,1,1
1241,18,1,2,12,2,2,1
1242,13,2,2,12,2,1,2
1248,5,2,2,10,3,2,2
1250,12,2,2,12,1,1,1
1254,9,1,2,12,1,1,2
1259,12,2,1,3,1,2,2
1263,18,2,2,12,2,2,1
1264,12,2,1,10,1,2,2
1268,14,2,2,12,2,1,1
1269,19,2,2,11,2,2,1
1270,16,2,2,9,1,2,1
1271,12,2,1,12,1,1,1
1274,17,2,2,12,1,1,2
1275,12,2,2,10,1,1,2
1276,14,2,1,12,1,1,2
1288,12,2,2,11,3,2,2
1293,16,1,2,4,3,1,1
1299,16,2,2,12,1,2,1
1302,16,2,2,12,1,1,1
1303,16,2,2,12,1,1,1
1306,12,1,2,12,1,2,1
1308,13,2,2,3,1,1,1
1309,19,2,2,12,1,2,1
1310,13,2,2,1,1,2,1
1311,16,2,2,12,1,1,1
1312,18,2,1,12,1,2,1
1314,14,2,1,12,1,1,1
1315,17,2,2,12,1,2,1
1318,16,2,2,12,1,2,1
1323,20,2,2,12,1,1,1
1325,12,2,2,2,1,1,2
1326,16,2,2,12,1,1,1
1328,16,2,2,12,1,2,1
1333,14,2,2,1,1,1,1
1336,14,2,2,12,3,1,2
1339,20,2,1,9,1,2,1
1341,14,2,2,2,1,1,1
1344,12,2,2,12,1,2,2
1345,16,2,1,12,1,2,1
1347,14,2,1,12,1,2,2
1353,12,2,2,12,1,2,2
1356,16,2,2,12,1,2,1
1359,16,2,2,11,1,2,1
1360,12,2,2,9,1,1,2
1361,11,2,2,12,1,2,2
1362,11,2,2,12,1,1,2
1366,5,2,2,9,3,1,2
1367,16,1,2,10,1,2,1
1373,16,2,2,11,1,2,1
1374,17,2,2,8,1,1,2
1375,16,2,2,12,1,2,1
1376,12,2,2,9,1,2,2
1378,12,2,1,10,1,2,2
1381,12,2,2,2,1,2,2
1384,12,2,2,12,1,1,2
1386,12,2,2,12,1,1,2
1387,9,2,2,12,1,1,2
1395,15,2,2,12,2,2,1
1399,16,2,1,12,1,1,1
1410,16,2,1,12,1,1,1
1411,16,2,2,12,1,1,1
1415,9,2,2,4,1,1,2
1418,15,2,1,12,1,1,2
1419,16,2,1,12,1,1,1
1430,16,2,1,11,3,2,2
1437,10,2,2,12,1,2,2
1440,12,2,1,12,1,1,2
1442,12,2,2,2,2,1,2
1447,10,2,2,11,1,2,2
1449,9,2,2,12,1,1,2
1457,12,2,2,12,1,1,2
1459,14,2,2,12,1,1,2
1460,20,2,1,12,1,2,1
1461,10,2,2,9,1,1,2
1464,9,2,2,10,3,1,2
1469,12,2,2,9,1,2,2
1472,16,2,2,12,1,1,2
1483,12,2,1,12,1,1,2
1486,12,2,2,12,1,1,2
1490,12,2,2,4,1,1,2
1494,10,2,2,11,1,1,2
1495,13,2,1,12,2,1,2
1497,18,1,2,12,1,2,1
1499,11,1,2,4,1,1,2
1500,11,2,1,9,1,1,2
1501,18,2,1,12,1,2,2
1503,14,2,2,3,1,2,2
1505,12,2,2,9,1,1,2
1506,13,2,2,12,1,2,2
1523,14,2,2,1,1,1,1
1525,13,2,2,6,1,2,2
1528,9,2,2,10,1,1,2
1531,20,1,2,12,1,1,1
1535,18,2,1,12,2,1,1
1544,16,2,2,12,1,1,1
1545,17,2,1,12,1,2,1
1546,14,1,2,12,1,1,1
1548,14,2,2,12,1,1,2
1549,18,2,1,12,1,2,1
1550,15,2,2,11,2,2,1
1551,12,1,2,9,1,1,2
1558,15,2,1,12,1,2,1
1559,15,2,2,12,1,1,2
1566,12,2,2,12,1,2,2
1570,14,2,2,11,1,1,1
1573,14,2,1,12,1,1,1
1577,13,2,2,2,2,2,2
1585,11,2,1,12,2,1,2
1588,0,2,2,11,1,1,2
1590,14,2,2,12,1,2,2
1591,16,2,2,12,1,2,1
1593,16,2,1,12,1,2,1
1597,12,2,1,12,1,1,2
1602,12,2,1,12,2,2,2
1603,15,1,2,1,1,2,1
1614,14,1,2,12,1,2,1
1617,12,2,2,5,1,1,2
1621,12,2,2,7,1,2,1
1624,11,2,2,8,2,2,2
1630,16,2,2,12,2,2,1
1631,15,2,2,12,1,2,1
1635,12,2,2,12,1,1,2
1640,12,2,2,9,1,1,2
1642,13,2,2,4,2,2,2
1647,14,2,1,12,2,2,1
1648,13,2,2,12,1,2,1
1657,12,2,2,11,1,1,2
1658,12,2,1,11,2,2,2
1661,17,2,2,12,1,1,1
1665,12,2,1,12,1,1,2
1667,13,2,2,12,2,2,2
1674,10,2,2,11,3,1,2
1687,15,2,1,12,1,1,1
1689,12,2,1,6,2,2,2
1697,12,2,2,12,1,1,2
1699,14,2,1,12,1,2,2
1701,10,2,2,12,1,1,2
1702,11,2,2,5,1,2,2
1703,13,2,2,12,1,2,2
1704,12,1,2,12,1,2,2
1708,16,1,2,12,1,1,1
1709,20,2,1,12,2,2,1
1721,12,2,2,3,2,2,2
